"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre"
"BARCELONA",,"702,0","713,9","765,2","755,1","702,0","707,9","727,1","734,9"
1,"1. el Raval","601,3","598,9","654,0","644,7","601,3","600,0","618,4","625,8"
1,"2. el Barri Gòtic","756,7","771,1","773,0","831,1","756,7","764,8","767,2","786,0"
1,"3. la Barceloneta","581,3","598,2","630,0","601,4","581,3","590,7","603,1","602,6"
1,"4. Sant Pere, Santa Caterina i la Ribera","697,2","708,0","729,0","751,6","697,2","703,3","711,3","723,4"
2,"5. el Fort Pienc","753,8","770,1","753,0","792,5","753,8","762,5","759,2","768,1"
2,"6. la Sagrada Família","679,0","704,4","739,0","726,9","679,0","692,0","707,7","713,1"
2,"7. la Dreta de l'Eixample","957,6","988,9","1.052,0","1.035,1","957,6","974,5","1.001,7","1.012,5"
2,"8. l'Antiga Esquerra de l'Eixample","859,6","906,1","926,0","941,6","859,6","882,9","898,7","911,1"
2,"9. la Nova Esquerra de l'Eixample","766,2","766,9","807,0","789,8","766,2","766,5","781,4","783,8"
2,"10. Sant Antoni","740,4","746,0","798,0","772,1","740,4","743,4","762,6","765,6"
3,"11. el Poble Sec - AEI Parc Montjuïc","578,8","598,5","631,0","638,5","578,8","588,9","603,0","612,1"
3,"12. la Marina del Prat Vermell - AEI Zona Franca","n.d.","381,1","n.d.","411,4","n.d.","409,2","399,7","404,7"
3,"13. la Marina de Port","492,5","536,2","565,0","566,0","492,5","516,7","534,4","542,3"
3,"14. la Font de la Guatlla","728,2","687,3","735,0","648,8","728,2","708,5","717,7","695,2"
3,"15. Hostafrancs","614,2","601,6","632,0","640,9","614,2","608,2","616,7","624,6"
3,"16. la Bordeta","621,7","607,7","661,0","657,9","621,7","615,1","629,9","638,5"
3,"17. Sants - Badal","606,5","606,8","652,0","635,3","606,5","606,7","623,5","626,6"
3,"18. Sants","616,0","627,9","701,0","658,4","616,0","622,1","651,1","653,3"
4,"19. les Corts","822,4","817,2","860,0","909,3","822,4","819,7","835,3","856,3"
4,"20. la Maternitat i Sant Ramon","728,0","679,5","814,0","764,8","728,0","699,9","753,2","756,6"
4,"21. Pedralbes","1.250,8","1.711,4","2.034,0","1.860,3","1.250,8","1.476,1","1.689,7","1.730,0"
5,"22. Vallvidrera, el Tibidabo i les Planes","1.335,7","824,4","1.119,0","841,1","1.335,7","1.063,0","1.094,1","1.006,5"
5,"23. Sarrià","917,1","1.101,2","1.156,0","1.227,3","917,1","1.006,2","1.068,7","1.109,7"
5,"24. les Tres Torres","1.335,6","1.337,8","1.462,0","1.386,0","1.335,6","1.336,7","1.384,6","1.385,0"
5,"25. Sant Gervasi - la Bonanova","954,0","1.056,1","1.073,0","1.076,8","954,0","1.010,5","1.034,3","1.046,4"
5,"26. Sant Gervasi - Galvany","1.088,7","1.095,7","1.262,0","1.153,9","1.088,7","1.092,4","1.157,2","1.156,3"
5,"27. el Putxet i el Farró","758,4","790,2","840,0","808,4","758,4","774,3","796,0","799,7"
6,"28. Vallcarca i els Penitents","777,2","712,8","713,0","745,3","777,2","740,4","731,3","735,8"
6,"29. el Coll","576,4","539,6","576,0","542,7","576,4","556,7","563,6","557,0"
6,"30. la Salut","673,2","637,8","743,0","751,7","673,2","658,0","684,7","705,2"
6,"31. la Vila de Gràcia","707,2","726,6","742,0","749,2","707,2","717,1","726,1","733,1"
6,"32. el Camp d'en Grassot i Gràcia Nova","701,7","712,6","752,0","735,8","701,7","707,3","721,3","725,4"
7,"33. el Baix Guinardó","653,2","631,0","636,0","649,1","653,2","641,6","639,7","642,6"
7,"34. Can Baró","521,1","539,6","586,0","550,5","521,1","532,6","555,4","554,0"
7,"35. el Guinardó","601,1","596,1","620,0","631,0","601,1","598,5","605,8","612,9"
7,"36. la Font d'en Fargues","733,8","749,2","611,0","775,3","733,8","741,5","700,4","723,5"
7,"37. el Carmel","485,7","504,6","528,0","528,8","485,7","495,0","504,3","511,0"
7,"38. la Teixonera","505,0","547,2","498,0","527,5","505,0","525,4","515,7","519,7"
7,"39. Sant Genís dels Agudells","543,3","558,5","554,0","545,8","543,3","553,5","553,6","551,2"
7,"40. Montbau","608,9","621,8","626,0","654,1","608,9","616,5","619,3","630,4"
7,"41. la Vall d'Hebron","740,0","701,4","655,0","689,8","740,0","720,0","700,1","696,3"
7,"42. la Clota","n.d.","n.d.","368,0","n.d.","n.d.","347,5","358,5","350,3"
7,"43. Horta","585,5","568,3","572,0","594,2","585,5","575,6","574,4","579,9"
