"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","Acumulat/1r Trimestre","Acumulat/2n Trimestre","Acumulat/3r Trimestre","Acumulat/4rt Trimestre"
"BARCELONA",,897.89,916.33,948.86,954.29,897.89,907.35,921.15,929.57
1,"1. el Raval",792.74,820.88,849.32,827.27,792.74,806.47,820.04,821.84
1,"2. el Barri Gòtic",998.40,1024.29,1012.49,1057.26,998.40,1012.54,1012.53,1024.78
1,"3. la Barceloneta",870.84,923.45,889.24,913.20,870.84,897.03,894.92,899.37
1,"4. Sant Pere, Santa Caterina i la Ribera",923.44,991.39,970.97,1000.52,923.44,957.91,961.70,972.07
2,"5. el Fort Pienc",910.53,942.96,968.85,983.10,910.53,926.24,941.13,950.32
2,"6. la Sagrada Família",883.75,893.43,934.89,930.02,883.75,888.46,902.67,909.59
2,"7. la Dreta de l'Eixample",1191.43,1263.08,1216.70,1340.38,1191.43,1227.32,1223.81,1254.59
2,"8. l'Antiga Esquerra de l'Eixample",1069.16,1078.13,1136.21,1164.32,1069.16,1073.54,1095.15,1113.08
2,"9. la Nova Esquerra de l'Eixample",947.92,975.53,1003.89,1017.56,947.92,962.55,977.30,987.65
2,"10. Sant Antoni",899.98,907.42,970.26,960.30,899.98,903.66,926.32,934.34
3,"11. el Poble Sec - AEI Parc Montjuïc",783.50,788.23,822.04,813.74,783.50,785.94,797.73,801.81
3,"12. la Marina del Prat Vermell - AEI Zona Franca","nd","nd","nd","-","nd","nd","nd","-"
3,"13. la Marina de Port",751.65,719.33,755.18,778.52,751.65,735.00,741.67,751.06
3,"14. la Font de la Guatlla",842.32,834.68,871.41,810.24,842.32,838.54,848.79,839.71
3,"15. Hostafrancs",754.83,801.37,814.55,811.00,754.83,780.83,791.30,796.27
3,"16. la Bordeta",785.79,757.26,830.32,825.36,785.79,771.93,792.35,801.44
3,"17. Sants - Badal",764.41,755.29,786.80,831.19,764.41,759.81,769.02,784.54
3,"18. Sants",802.64,811.74,856.57,834.64,802.64,807.15,823.30,826.18
4,"19. les Corts",1002.34,1038.73,1077.99,1031.46,1002.34,1021.08,1042.34,1039.61
4,"20. la Maternitat i Sant Ramon",948.77,959.26,1013.28,960.03,948.77,954.40,978.56,973.55
4,"21. Pedralbes",1799.91,1563.31,1849.52,1615.31,1799.91,1727.11,1778.00,1739.60
5,"22. Vallvidrera, el Tibidabo i les Planes",895.70,860.13,1102.29,898.33,895.70,876.17,948.53,937.55
5,"23. Sarrià",1249.23,1332.33,1443.71,1422.80,1249.23,1293.96,1350.05,1368.51
5,"24. les Tres Torres",1613.41,1467.07,1746.01,1567.91,1613.41,1538.17,1609.60,1599.89
5,"25. Sant Gervasi - la Bonanova",1247.70,1288.82,1322.61,1283.24,1247.70,1268.71,1286.46,1285.61
5,"26. Sant Gervasi - Galvany",1310.42,1328.14,1374.32,1374.82,1310.42,1320.03,1338.21,1347.84
5,"27. el Putxet i el Farró",946.65,972.89,1021.27,1031.54,946.65,960.52,981.70,995.37
6,"28. Vallcarca i els Penitents",886.27,939.03,905.82,971.51,886.27,913.26,910.32,925.02
6,"29. el Coll",741.23,716.25,756.36,748.90,741.23,729.06,737.90,740.36
6,"30. la Salut",815.62,883.52,870.31,930.09,815.62,852.93,858.25,877.30
