Dte.,Barris,"1r Trimestre 2014 ","2n Trimestre 2014","3r Trimestre 2014","4rt Trimestre 2014 ","1r Trimestre 2014 (acumulat)","2n Trimestre 2014 (acumulat)","3r Trimestre 2014 (acumulat)","4rt Trimestre 2014 (acumulat)"
1,"1. el Raval",10.76,10.52,9.84,10.81,10.76,10.64,10.36,10.47
1,"2. el Barri Gòtic",10.58,10.18,10.99,10.41,10.58,10.38,10.59,10.54
1,"3. la Barceloneta",14.4,14.53,15.54,16.14,14.4,14.46,14.78,15.15
1,"4. Sant Pere, Santa Caterina i la Ribera",11.01,11.23,11.59,11.09,11.01,11.13,11.29,11.24
2,"5. el Fort Pienc",10.42,10.06,9.64,9.81,10.42,10.23,10.03,9.98
2,"6. la Sagrada Família",10.55,10.59,10.4,10.32,10.55,10.58,10.51,10.46
2,"7. la Dreta de l'Eixample",9.84,10.63,9.96,9.87,9.84,10.23,10.14,10.06
2,"8. l'Antiga Esquerra de l'Eixample",10.35,10.98,10.33,10.36,10.35,10.65,10.53,10.48
2,"9. la Nova Esquerra de l'Eixample",10.32,10.63,10.31,10.46,10.32,10.47,10.41,10.42
2,"10. Sant Antoni",9.77,10.4,9.97,9.94,9.77,10.06,10.03,10.01
3,"11. el Poble Sec - AEI Parc Montjuïc",10.18,10.3,10.08,10.2,10.18,10.24,10.19,10.19
3,"12. la Marina del Prat Vermell - AEI Zona Franca",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,5.36
3,"13. la Marina de Port",8.34,7.27,7.86,8.66,8.34,7.74,7.78,7.99
3,"14. la Font de la Guatlla",10.83,10.55,10.04,11.02,10.83,10.7,10.44,10.62
3,"15. Hostafrancs",10.4,10.08,9.93,10.63,10.4,10.24,10.14,10.27
3,"16. la Bordeta",9.46,9.6,8.85,9.37,9.46,9.53,9.29,9.31
3,"17. Sants - Badal",9.94,10.1,9.98,9.77,9.94,10.02,10.01,9.94
3,"18. Sants",9.89,10.62,9.82,10.06,9.89,10.2,10.07,10.07
4,"19. les Corts",11.39,11,10.91,11.01,11.39,11.19,11.09,11.07
4,"20. la Maternitat i Sant Ramon",10.02,10.44,10.44,10.54,10.02,10.22,10.32,10.38
4,"21. Pedralbes",11.19,12.52,12.06,13.99,11.19,11.84,11.91,12.33
5,"22. Vallvidrera, el Tibidabo i les Planes",7.9,6.25,8.78,15.88,7.9,7.6,8.1,10.6
5,"23. Sarrià",12.62,13.29,14.64,13.52,12.62,12.94,13.62,13.59
5,"24. les Tres Torres",13.27,14.4,13.38,13.18,13.27,13.8,13.66,13.52
