"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","Acumulat/1r Trimestre","Acumulat/2n Trimestre","Acumulat/3r Trimestre","Acumulat/4rt Trimestre"
"BARCELONA",,13.10,13.27,13.61,13.70,13.10,13.19,13.33,13.42
1,"1. el Raval",13.74,14.14,14.12,14.07,13.74,13.94,14.00,14.02
1,"2. el Barri Gòtic",13.30,14.15,13.54,14.10,13.30,13.77,13.69,13.80
1,"3. la Barceloneta",17.10,16.31,16.85,17.41,17.10,16.70,16.74,16.88
1,"4. Sant Pere, Santa Caterina i la Ribera",14.68,15.09,15.12,15.20,14.68,14.88,14.95,15.02
2,"5. el Fort Pienc",12.63,12.92,13.41,13.61,12.63,12.78,13.00,13.13
2,"6. la Sagrada Família",13.45,13.40,13.97,14.05,13.45,13.42,13.59,13.71
2,"7. la Dreta de l'Eixample",13.21,13.71,14.48,14.44,13.21,13.46,13.80,13.96
2,"8. l'Antiga Esquerra de l'Eixample",13.49,14.01,14.32,14.37,13.49,13.74,13.94,14.05
2,"9. la Nova Esquerra de l'Eixample",13.51,13.83,14.16,14.12,13.51,13.68,13.85,13.92
2,"10. Sant Antoni",12.72,13.10,13.36,13.49,12.72,12.91,13.07,13.17
3,"11. el Poble Sec - AEI Parc Montjuïc",13.83,13.41,14.16,14.02,13.83,13.61,13.79,13.85
3,"12. la Marina del Prat Vermell - AEI Zona Franca","nd","nd","nd","-","nd","nd","nd","-"
3,"13. la Marina de Port",10.40,10.23,10.59,11.10,10.40,10.31,10.40,10.58
3,"14. la Font de la Guatlla",12.42,12.59,12.31,12.13,12.42,12.51,12.44,12.37
3,"15. Hostafrancs",13.23,13.42,13.58,13.89,13.23,13.34,13.42,13.54
3,"16. la Bordeta",12.40,11.40,12.42,12.32,12.40,11.91,12.09,12.15
3,"17. Sants - Badal",12.52,12.86,13.43,13.31,12.52,12.69,12.95,13.04
3,"18. Sants",12.94,12.82,13.44,13.40,12.94,12.88,13.06,13.15
4,"19. les Corts",14.61,14.65,15.02,15.05,14.61,14.63,14.78,14.84
4,"20. la Maternitat i Sant Ramon",13.82,13.35,13.67,13.53,13.82,13.57,13.61,13.59
4,"21. Pedralbes",14.92,17.66,14.80,15.37,14.92,15.75,15.35,15.35
5,"22. Vallvidrera, el Tibidabo i les Planes",11.21,11.57,11.24,14.25,11.21,11.43,11.36,11.93
5,"23. Sarrià",16.04,17.02,17.86,17.81,16.04,16.58,17.06,17.25
5,"24. les Tres Torres",16.61,16.42,16.26,16.43,16.61,16.51,16.42,16.43
5,"25. Sant Gervasi - la Bonanova",16.24,15.83,16.06,16.27,16.24,16.03,16.04,16.10
5,"26. Sant Gervasi - Galvany",14.43,14.65,14.76,15.27,14.43,14.55,14.62,14.79
5,"27. el Putxet i el Farró",14.10,14.38,15.15,14.75,14.10,14.25,14.57,14.62
