Dte.,Barris,"1r Trimestre 2015","2n Trimestre 2015","3r Trimestre 2015","4rt Trimestre 2015","1r Trimestre 2015 (acumulat)","2n Trimestre 2015 (acumulat)","3r Trimestre 2015 (acumulat)","4rt Trimestre 2015 (acumulat)"
1,"1. el Raval",10.6,10.9,11.0,11.5,10.6,10.8,11.0,11.1
1,"2. el Barri Gòtic",10.5,11.1,12.0,11.6,10.5,10.8,11.0,11.2
1,"3. la Barceloneta",15.7,16.0,17.0,16.7,15.7,15.8,16.2,16.3
1,"4. Sant Pere, Santa Caterina i la Ribera",11.5,12.0,14.0,13.4,11.5,11.8,12.4,12.7
2,"5. el Fort Pienc",10.2,11.0,11.0,11.4,10.2,10.6,10.7,10.9
2,"6. la Sagrada Família",10.2,11.1,12.0,11.4,10.2,10.7,11.0,11.1
2,"7. la Dreta de l'Eixample",10.5,10.7,12.0,11.7,10.5,10.6,11.1,11.3
2,"8. l'Antiga Esquerra de l'Eixample",10.6,11.1,12.0,11.8,10.6,10.8,11.2,11.4
2,"9. la Nova Esquerra de l'Eixample",10.5,11.2,11.0,11.8,10.5,10.8,11.0,11.3
2,"10. Sant Antoni",10.2,10.9,11.0,11.2,10.2,10.6,10.9,11.0
3,"11. el Poble Sec - AEI Parc Montjuïc",10.3,11.4,11.0,11.7,10.3,10.8,10.9,11.1
3,"12. la Marina del Prat Vermell - AEI Zona Franca",n.d.,6.5,n.d.,7.0,n.d.,6.2,6.3,6.6
3,"13. la Marina de Port",6.9,8.2,9.0,8.8,6.9,7.6,8.2,8.4
3,"14. la Font de la Guatlla",11.2,10.6,12.0,11.5,11.2,10.9,11.3,11.3
3,"15. Hostafrancs",10.7,10.9,11.0,11.5,10.7,10.8,10.9,11.1
3,"16. la Bordeta",8.7,9.5,11.0,10.3,8.7,9.1,9.6,9.8
3,"17. Sants - Badal",9.9,10.8,11.0,11.0,9.9,10.4,10.7,10.7
3,"18. Sants",10.3,11.1,11.0,11.3,10.3,10.7,10.9,11.0
4,"19. les Corts",10.6,11.9,12.0,12.4,10.6,11.2,11.7,11.8
4,"20. la Maternitat i Sant Ramon",10.6,10.8,12.0,11.9,10.6,10.7,11.2,11.4
4,"21. Pedralbes",11.4,12.7,17.0,15.6,11.4,12.0,13.7,14.1
5,"22. Vallvidrera, el Tibidabo i les Planes",16.9,9.1,13.0,9.8,16.9,14.1,13.7,12.1
5,"23. Sarrià",12.3,14.4,15.0,16.0,12.3,13.2,14.1,14.5
5,"24. les Tres Torres",12.8,13.4,15.0,14.3,12.8,13.1,13.8,14.0
5,"25. Sant Gervasi - la Bonanova",11.1,12.6,13.0,13.9,11.1,11.9,12.4,12.8
5,"26. Sant Gervasi - Galvany",11.4,12.5,13.0,13.5,11.4,12.0,12.5,12.7
5,"27. el Putxet i el Farró",11.4,12.8,13.0,12.5,11.4,12.1,12.3,12.3
6,"28. Vallcarca i els Penitents",10.6,11.3,12.0,12.1,10.6,11.0,11.3,11.6
6,"29. el Coll",9.4,9.7,10.0,10.1,9.4,9.5,9.8,9.9
6,"30. la Salut",10.2,11.6,11.0,12.4,10.2,10.8,10.8,11.3
6,"31. la Vila de Gràcia",11.5,12.5,13.0,12.6,11.5,12.0,12.2,12.3
6,"32. el Camp d'en Grassot i Gràcia Nova",10.6,10.9,11.0,12.2,10.6,10.8,11.0,11.3
7,"33. el Baix Guinardó",10.3,10.2,10.0,11.1,10.3,10.3,10.3,10.6
7,"34. Can Baró",8.7,9.9,10.0,10.7,8.7,9.4,9.8,10.1
7,"35. el Guinardó",10.1,10.2,10.0,10.8,10.1,10.1,10.2,10.4
7,"36. la Font d'en Fargues",9.7,10.3,9.0,14.8,9.7,10.0,9.8,11.4
7,"37. el Carmel",8.6,9.2,9.0,9.3,8.6,8.9,9.0,9.1
7,"38. la Teixonera",8.7,11.2,9.0,9.4,8.7,9.8,9.5,9.5
7,"39. Sant Genís dels Agudells",7.6,8.1,8.0,8.8,7.6,8.0,8.1,8.3
7,"40. Montbau",8.9,9.7,12.0,10.1,8.9,9.4,10.0,10.1
7,"41. la Vall d'Hebron",9.9,9.9,11.0,10.0,9.9,9.9,10.1,10.1
7,"42. la Clota",n.d.,n.d.,8.0,n.d.,n.d.,8.7,8.5,8.0
7,"43. Horta",8.9,9.6,10.0,9.8,8.9,9.3,9.4,9.5
8,"44. Vilapicina i la Torre Llobeta",9.0,9.1,10.0,9.6,9.0,9.0,9.2,9.3
8,"45. Porta",8.3,9.0,9.0,9.9,8.3,8.6,8.8,9.1
8,"46. el Turó de la Peira",7.2,8.2,9.0,9.2,7.2,7.6,7.9,8.3
8,"47. Can Peguera",n.d.,n.d.,n.d.,n.d.,n.d.,5.3,4.4,5.8
8,"48. la Guineueta",8.3,8.1,8.0,8.2,8.3,8.2,8.2,8.2
8,"49. Canyelles",n.d.,7.2,7.0,7.8,6.0,6.8,7.0,7.2
8,"50. les Roquetes",8.3,8.8,9.0,8.9,8.3,8.5,8.7,8.7
8,"51. Verdun",8.8,7.8,10.0,10.1,8.8,8.2,8.9,9.1
8,"52. la Prosperitat",9.1,9.9,10.0,9.5,9.1,9.5,9.7,9.6
8,"53. la Trinitat Nova",8.1,9.3,9.0,8.8,8.1,8.8,8.8,8.8
8,"54. Torre Baró",n.d.,7.3,n.d.,5.2,n.d.,6.9,6.4,6.1
8,"55. Ciutat Meridiana",6.6,6.7,6.0,6.7,6.6,6.6,6.6,6.6
8,"56. Vallbona",n.d.,5.9,n.d.,n.d.,n.d.,5.8,6.0,6.7
9,"57. la Trinitat Vella",6.9,8.4,9.0,8.0,6.9,7.7,8.0,8.0
9,"58. Baró de Viver",5.1,5.6,4.0,n.d.,5.1,5.3,4.8,4.8
9,"59. el Bon Pastor",8.3,8.7,9.0,9.3,8.3,8.5,8.6,8.8
9,"60. Sant Andreu",9.3,10.1,11.0,10.0,9.3,9.7,10.0,10.0
9,"61. la Sagrera",8.9,9.6,10.0,10.6,8.9,9.3,9.5,9.7
9,"62. el Congrés i els Indians",9.0,9.6,10.0,9.2,9.0,9.3,9.5,9.5
9,"63. Navas",9.2,9.6,10.0,10.3,9.2,9.4,9.5,9.7
10,"64. el Camp de l'Arpa del Clot",9.6,10.6,11.0,11.2,9.6,10.1,10.4,10.6
10,"65. el Clot",9.4,10.5,11.0,10.6,9.4,10.0,10.2,10.3
10,"66. el Parc i la Llacuna del Poblenou",9.8,12.0,12.0,12.2,9.8,11.1,11.3,11.5
10,"67. la Vila Olímpica del Poblenou",12.9,14.8,16.0,13.1,12.9,14.1,14.7,14.3
10,"68. el Poblenou",10.6,11.9,12.0,12.5,10.6,11.3,11.5,11.7
10,"69. Diagonal Mar i el Front Marítim del Poblenou",11.6,11.1,12.0,14.9,11.6,11.3,11.4,12.5
10,"70. el Besòs i el Maresme",8.4,8.4,8.0,8.3,8.4,8.4,8.4,8.4
10,"71. Provençals del Poblenou",9.1,10.0,10.0,10.9,9.1,9.5,9.7,10.0
10,"72. Sant Martí de Provençals",9.3,9.6,9.0,9.5,9.3,9.4,9.4,9.4
10,"73. la Verneda i la Pau",8.6,9.4,9.0,8.9,8.6,9.0,9.2,9.1
