"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","Acumulat/1r Trimestre","Acumulat/2n Trimestre","Acumulat/3r Trimestre","Acumulat/4rt Trimestre"
"BARCELONA",,12.99,13.10,13.61,13.56,12.99,13.21,13.29,13.36
1,"1. el Raval",13.50,13.69,13.97,14.42,13.50,13.59,13.72,13.92
1,"2. el Barri Gòtic",14.14,13.78,14.43,14.41,14.14,13.96,14.11,14.19
1,"3. la Barceloneta",19.46,19.87,19.72,20.33,19.46,19.68,19.70,19.84
1,"4. Sant Pere, Santa Caterina i la Ribera",15.01,15.99,16.16,15.66,15.01,15.51,15.74,15.71
2,"5. el Fort Pienc",12.77,12.59,13.44,13.54,12.77,12.67,12.95,13.11
2,"6. la Sagrada Família",13.04,13.34,13.82,13.13,13.04,13.20,13.43,13.35
2,"7. la Dreta de l'Eixample",12.82,13.83,13.41,13.95,12.82,13.35,13.37,13.54
2,"8. l'Antiga Esquerra de l'Eixample",13.24,13.51,14.02,13.96,13.24,13.38,13.65,13.73
2,"9. la Nova Esquerra de l'Eixample",13.01,13.34,13.80,13.86,13.01,13.18,13.41,13.55
2,"10. Sant Antoni",12.38,12.79,13.16,13.46,12.38,12.61,12.83,13.02
3,"11. el Poble Sec - AEI Parc Montjuïc",13.02,13.95,13.52,14.12,13.02,13.53,13.52,13.69
3,"12. la Marina del Prat Vermell - AEI Zona Franca","-","-","-","-","-","-","-","-"
3,"13. la Marina de Port",9.88,9.86,10.89,10.73,9.88,9.87,10.21,10.36
3,"14. la Font de la Guatlla",12.59,12.39,13.48,13.34,12.59,12.50,12.93,13.03
3,"15. Hostafrancs",12.36,12.33,13.55,13.19,12.36,12.34,12.80,12.91
3,"16. la Bordeta",10.86,11.89,12.87,11.96,10.86,11.36,11.93,11.94
3,"17. Sants - Badal",12.91,12.97,13.40,13.29,12.91,12.94,13.10,13.15
3,"18. Sants",12.96,12.85,13.31,13.49,12.96,12.90,13.06,13.18
4,"19. les Corts",13.63,14.23,14.66,14.65,13.63,13.93,14.22,14.33
4,"20. la Maternitat i Sant Ramon",13.15,13.17,13.60,13.44,13.15,13.16,13.34,13.37
4,"21. Pedralbes",16.05,16.76,16.54,15.22,16.05,16.46,16.49,16.21
5,"22. Vallvidrera, el Tibidabo i les Planes",10.12,17.35,20.61,18.56,10.12,13.98,15.87,16.58
5,"23. Sarrià",16.28,17.93,18.26,17.32,16.28,17.15,17.58,17.51
5,"24. les Tres Torres",16.12,16.76,16.07,18.38,16.12,16.46,16.30,16.88
5,"25. Sant Gervasi - la Bonanova",14.60,14.71,15.77,16.19,14.60,14.66,15.08,15.38
5,"26. Sant Gervasi - Galvany",14.06,14.76,14.95,14.64,14.06,14.40,14.59,14.61
5,"27. el Putxet i el Farró",14.97,13.99,15.01,15.32,14.97,14.50,14.69,14.88
6,"28. Vallcarca i els Penitents",14.10,14.39,14.05,13.97,14.10,14.24,14.17,14.11
6,"29. el Coll",11.96,11.81,14.16,11.70,11.96,11.88,12.74,12.45
6,"30. la Salut",12.48,12.24,13.52,11.55,12.48,12.36,12.78,12.34
6,"31. la Vila de Gràcia",14.89,14.85,15.20,15.07,14.89,14.87,14.99,15.01
6,"32. el Camp d'en Grassot i Gràcia Nova",12.92,13.83,13.97,13.48,12.92,13.41,13.61,13.57
7,"33. el Baix Guinardó",12.66,12.17,13.12,12.37,12.66,12.42,12.67,12.59
7,"34. Can Baró",11.85,12.60,12.49,12.63,11.85,12.25,12.34,12.42
7,"35. el Guinardó",12.28,11.81,12.58,12.48,12.28,12.02,12.20,12.28
7,"36. la Font d'en Fargues",14.94,12.28,13.15,12.31,14.94,13.63,13.47,13.11
7,"37. el Carmel",11.46,10.53,10.93,11.14,11.46,10.98,10.96,11.01
7,"38. la Teixonera",10.71,11.61,10.91,11.41,10.71,11.17,11.09,11.18
7,"39. Sant Genís dels Agudells",8.96,9.48,9.96,9.52,8.96,9.24,9.51,9.52
7,"40. Montbau",12.97,10.84,12.83,13.54,12.97,11.72,12.11,12.52
7,"41. la Vall d'Hebron",11.69,11.54,12.02,12.93,11.69,11.64,11.81,12.16
7,"42. la Clota","-","-","-","-","-","-","-",15.07
7,"43. Horta",11.24,11.65,11.39,12.29,11.24,11.43,11.42,11.65
8,"44. Vilapicina i la Torre Llobeta",11.22,11.00,11.62,11.57,11.22,11.12,11.28,11.37
8,"45. Porta",10.21,10.75,11.08,11.01,10.21,10.53,10.72,10.80
8,"46. el Turó de la Peira",10.32,10.42,10.46,11.09,10.32,10.37,10.40,10.59
8,"47. Can Peguera","-",11.68,"-","-","-",11.16,10.85,11.18
8,"48. la Guineueta",9.13,8.88,9.51,9.83,9.13,9.01,9.17,9.38
8,"49. Canyelles",8.05,8.68,8.79,8.96,8.05,8.33,8.48,8.60
8,"50. les Roquetes",9.41,10.11,10.22,10.86,9.41,9.81,9.95,10.17
8,"51. Verdun",11.30,10.49,10.93,11.68,11.30,10.81,10.85,11.09
8,"52. la Prosperitat",11.61,10.82,11.20,11.44,11.61,11.19,11.19,11.26
8,"53. la Trinitat Nova",10.02,10.69,10.87,10.81,10.02,10.41,10.58,10.65
8,"54. Torre Baró",7.26,"-",6.84,7.17,7.26,6.33,6.49,6.78
8,"55. Ciutat Meridiana",7.93,7.54,7.38,7.55,7.93,7.73,7.60,7.59
8,"56. Vallbona","-",4.45,"-","-","-",5.22,5.26,6.05
9,"57. la Trinitat Vella",9.40,7.44,9.94,10.14,9.40,8.28,8.79,9.16
9,"58. Baró de Viver","-","-","-","-","-",5.69,6.21,6.21
9,"59. el Bon Pastor",9.21,10.15,9.64,8.79,9.21,9.73,9.70,9.52
9,"60. Sant Andreu",12.43,11.93,12.50,12.44,12.43,12.17,12.29,12.33
9,"61. la Sagrera",9.80,10.53,11.19,11.69,9.80,10.18,10.53,10.84
9,"62. el Congrés i els Indians",11.23,11.14,11.97,11.15,11.23,11.19,11.45,11.37
9,"63. Navas",10.40,12.08,11.48,11.69,10.40,11.32,11.38,11.47
10,"64. el Camp de l'Arpa del Clot",12.89,12.79,12.84,13.26,12.89,12.84,12.84,12.95
10,"65. el Clot",12.26,12.28,12.72,12.47,12.26,12.27,12.44,12.45
10,"66. el Parc i la Llacuna del Poblenou",13.06,14.21,14.45,13.38,13.06,13.60,13.88,13.76
10,"67. la Vila Olímpica del Poblenou",16.26,18.51,15.97,17.65,16.26,17.47,16.89,17.13
10,"68. el Poblenou",13.35,13.99,14.23,14.21,13.35,13.68,13.87,13.97
10,"69. Diagonal Mar i el Front Marítim del Poblenou",15.79,15.71,16.22,16.51,15.79,15.75,15.88,16.03
10,"70. el Besòs i el Maresme",9.52,9.92,10.03,10.40,9.52,9.75,9.86,10.03
10,"71. Provençals del Poblenou",13.25,13.38,12.64,12.66,13.25,13.32,13.05,12.94
10,"72. Sant Martí de Provençals",10.54,11.11,11.09,10.83,10.54,10.85,10.93,10.90
10,"73. la Verneda i la Pau",10.03,9.85,10.40,10.38,10.03,9.93,10.09,10.16
